"filename", "language", "JavaScript", "MS SQL", "JSON", "Markdown", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\pablo\OneDrive\Escritorio\gradesei\README.md", "Markdown", 0, 0, 0, 97, 0, 0, 0, 35, 132
"c:\Users\pablo\OneDrive\Escritorio\gradesei\db\init.sql", "MS SQL", 0, 69, 0, 0, 0, 0, 0, 13, 82
"c:\Users\pablo\OneDrive\Escritorio\gradesei\db\insert.sql", "MS SQL", 0, 33, 0, 0, 0, 0, 7, 8, 48
"c:\Users\pablo\OneDrive\Escritorio\gradesei\db\reset.sql", "MS SQL", 0, 12, 0, 0, 0, 0, 2, 3, 17
"c:\Users\pablo\OneDrive\Escritorio\gradesei\db\show.sql", "MS SQL", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\pablo\OneDrive\Escritorio\gradesei\package-lock.json", "JSON", 0, 0, 3527, 0, 0, 0, 0, 1, 3528
"c:\Users\pablo\OneDrive\Escritorio\gradesei\package.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 1, 30
"c:\Users\pablo\OneDrive\Escritorio\gradesei\public\admin\actos.html", "HTML", 0, 0, 0, 0, 0, 57, 4, 6, 67
"c:\Users\pablo\OneDrive\Escritorio\gradesei\public\admin\aforo.html", "HTML", 0, 0, 0, 0, 0, 62, 4, 9, 75
"c:\Users\pablo\OneDrive\Escritorio\gradesei\public\admin\documentos.html", "HTML", 0, 0, 0, 0, 0, 30, 0, 0, 30
"c:\Users\pablo\OneDrive\Escritorio\gradesei\public\admin\login.html", "HTML", 0, 0, 0, 0, 0, 23, 0, 0, 23
"c:\Users\pablo\OneDrive\Escritorio\gradesei\public\admin\main.html", "HTML", 0, 0, 0, 0, 0, 38, 4, 2, 44
"c:\Users\pablo\OneDrive\Escritorio\gradesei\public\admin\recuperar.html", "HTML", 0, 0, 0, 0, 0, 21, 0, 0, 21
"c:\Users\pablo\OneDrive\Escritorio\gradesei\public\alumno\infoActo.html", "HTML", 0, 0, 0, 0, 0, 51, 2, 1, 54
"c:\Users\pablo\OneDrive\Escritorio\gradesei\public\alumno\login.html", "HTML", 0, 0, 0, 0, 0, 24, 0, 1, 25
"c:\Users\pablo\OneDrive\Escritorio\gradesei\public\alumno\main.html", "HTML", 0, 0, 0, 0, 0, 59, 2, 2, 63
"c:\Users\pablo\OneDrive\Escritorio\gradesei\public\alumno\modDatos.html", "HTML", 0, 0, 0, 0, 0, 33, 0, 9, 42
"c:\Users\pablo\OneDrive\Escritorio\gradesei\public\alumno\recuperar.html", "HTML", 0, 0, 0, 0, 0, 21, 0, 0, 21
